#Device;NGC103
#Device Name;NO NAME
#Format;LOG
#Date;2000-01-01
#Version;01.005-02.430-03.730
#Serial No.;000100954
#Mode;Unlimited
#Logging Interval[s];0.001
#Specified Logging Count;-----
#Specified Logging Time[s];-----
#Sequence;Off
#CH1 Voltage Target[V];4.200
#CH1 Current Target[A];0.200
#CH1 Sequence Delay[s];-----
#CH1 EasyArb;Off
#CH1 OVP;Off
#CH1 OPP;Off
#CH1 Ramp;Off
#CH1 Analog in;Off
#Start Time;00:43:54
#Stop Time;00:44:23
#Actual Count; 29911      
U1[V];I1[A];Timestamp
4.196;0.0700;00:43:54:001
4.188;0.0740;00:43:54:002
4.196;0.0740;00:43:54:003
4.196;0.0970;00:43:54:004
4.196;0.0410;00:43:54:005
4.196;0.0750;00:43:54:006
4.196;0.0740;00:43:54:007
4.196;0.0750;00:43:54:008
4.204;0.0410;00:43:54:009
4.196;0.0740;00:43:54:010
4.196;0.0740;00:43:54:011
4.196;0.0750;00:43:54:012
4.212;0.0420;00:43:54:013
4.196;0.0740;00:43:54:014
4.196;0.0550;00:43:54:015
4.196;0.0750;00:43:54:016
4.180;0.0460;00:43:54:017
4.204;0.0720;00:43:54:018
4.196;0.0410;00:43:54:019
4.204;0.0740;00:43:54:020
4.196;0.0750;00:43:54:021
4.188;0.0410;00:43:54:022
4.204;0.0410;00:43:54:023
4.188;0.0740;00:43:54:024
4.196;0.0750;00:43:54:025
4.220;0.0410;00:43:54:026
4.196;0.0440;00:43:54:027
4.204;0.0730;00:43:54:028
4.196;0.0750;00:43:54:029
4.228;0.0440;00:43:54:030
4.172;0.0970;00:43:54:031
4.196;0.0410;00:43:54:032
4.196;0.0750;00:43:54:033
4.196;0.0970;00:43:54:034
4.196;0.0750;00:43:54:035
4.204;0.0410;00:43:54:036
4.204;0.0740;00:43:54:037
4.196;0.0750;00:43:54:038
4.196;0.0410;00:43:54:039
4.204;0.0420;00:43:54:040
4.196;0.0740;00:43:54:041
4.196;0.0750;00:43:54:042
4.212;0.0420;00:43:54:043
4.180;0.0470;00:43:54:044
4.204;0.0720;00:43:54:045
4.196;0.0750;00:43:54:046
4.188;0.0440;00:43:54:047
4.196;0.0750;00:43:54:048
4.196;0.0410;00:43:54:049
